Name,google_rating,google_reviews
The Japanese Restaurant,4.4,64.0
La Brezza,2.6,22.0
Maison Wenger,4.8,364.0
Da Vittorio - St. Moritz,4.7,29.0
Einstein Gourmet,4.6,990.0
IGNIV by Andreas Caminada,4.8,195.0
The Counter,4.9,70.0
Mammertsberg,4.8,215.0
La Brezza,5.0,6.0
IGNIV Zürich by Andreas Caminada,4.8,346.0
Widder Restaurant,4.6,38.0
The Restaurant,4.6,97.0
roots,4.7,242.0
7132 Silver,4.5,1128.0
Pic Beau-Rivage Palace,4.6,282.0
Taverne zum Schäfli,4.8,170.0
Ecco St. Moritz,4.2,23.0
focus ATELIER,4.9,96.0
Stucki - Tanja Grandits,4.8,703.0
Myojaku,4.8,68.0
PRISMA,4.8,60.0
Seizan,4.7,312.0
Tempura Kondo,4.4,802.0
ASAHINA Gastronome,4.7,174.0
Tempura Motoyoshi,4.9,41.0
HOMMAGE,4.5,319.0
MAZ,4.6,113.0
Florilège,4.4,588.0
Ginza Fukuju,4.6,27.0
Kioicho Fukudaya,4.7,75.0
ESqUISSE,4.5,454.0
Tempura Ginya,4.7,56.0
Den,4.4,297.0
Ginza Kojyu,4.1,248.0
Crony,4.6,201.0
Sukiyabashi Jiro Roppongiten,4.1,375.0
NARISAWA,4.6,639.0
Ginza Shinohara,4.6,287.0
Ryuzu,4.4,410.0
Kutan,4.4,95.0
Akasaka Kikunoi,4.5,401.0
Jingumae Higuchi,4.8,52.0
ZURRIOLA,4.5,293.0
Sushi Kanesaka,4.0,294.0
King's Joy,4.4,115.0
Jingji,4.2,104.0
Shanghai Cuisine,4.5,148.0
Lu Shang Lu,,
De Groene Lantaarn,4.7,348.0
Flore,4.7,187.0
De Bokkedoorns,4.8,456.0
Vinkeles,4.6,330.0
Parkheuvel,4.6,602.0
De Nieuwe Winkel,4.8,424.0
De Lindehof,4.7,459.0
Inter Scaldes,4.7,306.0
Restaurant 212,4.6,366.0
Spectrum,4.7,267.0
Tribeca,4.8,434.0
De Lindenhof,4.6,201.0
De Treeswijkhoeve,4.8,435.0
't Nonnetje,4.7,396.0
Fred,4.7,549.0
Ciel Bleu,4.7,374.0
Aan de Poel,4.7,586.0
Brut172,4.8,354.0
FG - François Geurds,4.4,367.0
Sushi Masaki Saito,4.6,149.0
Xin Rong Ji,4.4,25.0
Yu Zhi Lan,4.5,242.0
Molino de Urdániz,4.5,544.0
RAW,4.4,3054.0
logy,,
Mudan,4.5,512.0
L'Atelier de Joël Robuchon,4.2,2208.0
Sons & Daughters,4.6,337.0
Hayato,4.8,76.0
Birdsong,4.6,422.0
Vespertine,4.5,232.0
Providence,4.7,1022.0
Aubergine,4.7,189.0
Commis,4.7,646.0
Acquerello,4.6,572.0
Mélisse,4.5,369.0
Lazy Bear,4.8,1060.0
Californios,4.7,470.0
Saison,4.5,770.0
Harbor House,4.6,203.0
Trèsind Studio,4.7,271.0
STAY by Yannick Alléno,4.6,228.0
Il Ristorante-Niko Romito,4.6,3560.0
Row on 45,4.7,6475.0
Agli Amici Rovinj,4.5,98.0
Meta,4.6,444.0
Jaan by Kirk Westaway,4.6,598.0
Saint Pierre,4.7,323.0
Shoukouwa,4.6,175.0
Cloudstreet,4.7,319.0
Thevar,4.6,401.0
Bottiglieria 1881,4.6,864.0
Milka,4.8,64.0
Taian Table,4.5,430.0
Jiang by Chef Fei,3.9,15.0
Imperial Treasure Fine Chinese Cuisine,4.1,178.0
Frederikshøj,4.8,318.0
Kadeau Copenhagen,4.7,407.0
AIRA,4.8,295.0
Kong Hans Kælder,4.7,275.0
Vollmers,4.8,359.0
Kontrast,4.7,411.0
Palace,4.8,309.0
Henne Kirkeby Kro,4.7,325.0
Koan,4.8,115.0
Aloë,4.5,308.0
Alchemist,4.8,558.0
a|o|c,4.6,207.0
VYN,4.8,281.0
180° by Matthias Diether,4.7,329.0
Oro,4.7,1343.0
D.O.M.,4.5,2401.0
Evvai,4.6,2197.0
Tuju,4.7,86.0
Oteque,4.4,46.0
Lasai,4.7,775.0
Pujol,4.5,5220.0
Quintonil,4.4,2598.0
Oryori Hanagaki,4.3,23.0
Tsukumo,4.7,119.0
NARA NIKON,4.6,141.0
akordu,4.4,186.0
L'Atelier de Joël Robuchon Miami,4.3,463.0
Koryu,4.4,66.0
Tenjimbashi Aoki,4.3,26.0
Gion Maruyama,4.5,191.0
Miyamoto,,
Sojiki Nakahigashi,4.5,289.0
La Cime,4.3,293.0
Fujiya 1935,4.5,232.0
Ryō-shō,4.9,47.0
Wagokoro Izumi,4.5,180.0
Gion Matayoshi,4.5,154.0
Yusokuryori Mankamero,4.7,153.0
VELROSIER,4.1,567.0
Ogata,4.4,153.0
Sushi Harasho,4.3,131.0
Gion Nishikawa,4.2,247.0
Shimmonzen Yonemura,4.6,223.0
Kyokaiseki Kichisen,3.7,167.0
Yugen,4.7,58.0
Otagi,4.7,2446.0
Shunsaiten Tsuchiya,4.5,216.0
Miyamaso,4.6,216.0
Kikunoi Roan,4.3,414.0
KAHALA,4.7,28.0
Kenninji Gion Maruyama,4.4,123.0
Numata,4.6,46.0
Sumibi Kappo Ifuki,4.6,101.0
Kodaiji Wakuden,4.6,179.0
ION Harbour by Simon Rogan,4.6,325.0
Lafleur,4.7,268.0
IKIGAI,4.5,44.0
Lakeside,4.8,102.0
Ox & Klee,4.6,563.0
Ösch Noir,4.9,50.0
Courtier,4.8,488.0
AURA by Alexander Herrmann & Tobias Bätz,4.2,13.0
Mühle,4.9,361.0
PUR,4.8,53.0
Meierei Dirk Luther,4.8,82.0
Ophelia,4.7,182.0
Restaurant Haerlin,4.8,240.0
etz,4.9,148.0
Tim Raue,4.6,1399.0
Lorenz Adlon Esszimmer,4.6,199.0
CODA Dessert Dining,4.6,660.0
Jante,4.6,327.0
Le Cerf,4.8,839.0
bianc,4.8,382.0
100/200 Kitchen,4.5,351.0
FACIL,4.8,998.0
Tohru in der Schreiberei,4.9,184.0
Tantris,4.7,1019.0
L.A. Jordan,4.6,103.0
Horváth,4.4,580.0
Votum,4.6,94.0
Coeur D'Artichaut,4.9,157.0
Atelier,4.8,240.0
ammolite - The Lighthouse Restaurant,4.7,287.0
GästeHaus Klaus Erfort,4.6,278.0
Esplanade,4.7,316.0
Essigbrätlein,4.7,425.0
KOMU,4.8,103.0
Obendorfers Eisvogel,4.9,66.0
Vendôme,4.7,380.0
OPUS V,4.7,349.0
Speisemeisterei,4.7,456.0
Söl'ring Hof,4.8,272.0
EssZimmer,4.7,341.0
Steinheuers Restaurant Zur Alten Post,4.7,317.0
sein,4.7,262.0
Gourmetrestaurant Dichter,4.9,62.0
AUGUST,4.6,98.0
Le Pavillon,4.7,49.0
Hirschen,4.8,244.0
LOUIS restaurant,4.7,34.0
Alois - Dallmayr Fine Dining,4.5,236.0
Sylvestre Wahid - Les Grandes Alpes,4.7,13.0
La Table des Amis,4.9,178.0
La Voile - La Réserve Ramatuelle,4.6,358.0
Les Ambassadeurs by Christophe Cussac,5.0,55.0
L'Abysse au Pavillon Ledoyen,4.6,178.0
Anne de Bretagne,4.8,702.0
Le Clarence,4.7,692.0
La Scène,4.8,877.0
La Table Lionel Giraud,4.8,819.0
L'Auberge des Glazicks,4.6,381.0
Flaveur,4.4,333.0
L'Oiseau Blanc,4.6,1332.0
Duende,4.7,145.0
Restaurant Le Meurice Alain Ducasse,4.4,891.0
La Grenouillère,4.7,808.0
Lalique,5.0,29.0
La Côte d'Or,4.6,1385.0
Racine,4.8,501.0
Maison Aribert,4.6,927.0
La Fourchette des Ducs,4.7,219.0
Michel Kayser - Restaurant Alexandre,4.8,756.0
Py-r,4.6,855.0
Marsan par Hélène Darroze,4.3,827.0
Le Jules Verne,4.4,2964.0
David Toutain,4.6,763.0
Le Puits Saint Jacques,4.8,1117.0
Auberge de l'Ill,4.8,2015.0
La Table d'Olivier Nasti,4.7,299.0
JY'S,4.5,807.0
Serge Vieira,4.7,431.0
Le Pressoir d'Argent - Gordon Ramsay,4.6,522.0
Château de Beaulieu - Christophe Dufossé,4.4,38.0
Le Grand Restaurant - Jean-François Piège,4.4,438.0
La Côte Saint-Jacques,4.6,494.0
Guy Savoy,4.6,1545.0
L'Orangerie,4.9,358.0
Table - Bruno Verjus,4.3,408.0
Jean Sulpice,4.7,1373.0
La Grand'Vigne - Les Sources de Caudalie,4.5,162.0
Le Pré - Xavier Beaudiment,4.7,658.0
Bras,4.7,1137.0
L'Auberge de Montmin,4.9,386.0
Le Taillevent,4.7,675.0
La Merise,4.7,546.0
Palais Royal Restaurant,4.6,738.0
Les Morainières,4.8,657.0
Cédric Burtin,4.8,1089.0
Villa René Lalique,4.9,859.0
Le Sarkara,4.7,177.0
René et Maxime Meilleur,4.6,141.0
Le Parc Les Crayères,4.7,159.0
Le Skiff Club,4.6,227.0
Blue Bay Marcel Ravin,4.7,294.0
Takao Takano,4.7,660.0
La Table de Pavie,4.8,152.0
Maison Ronan Kervarrec,4.7,458.0
Paul Bocuse,4.8,4591.0
La Chèvre d'Or,4.7,1405.0
Relais de la Poste,4.6,683.0
Mère Brazier,4.7,1240.0
Christopher Coutanceau,4.7,1084.0
Maison Rostang,4.4,657.0
Le Neuvième Art,4.8,759.0
William Frachot,4.6,167.0
Cyril Attrazic,4.8,208.0
Le Chabichou by Stéphane Buron,4.5,270.0
La Table de Franck Putelat,4.7,702.0
Christophe Hay - Fleur de Loire,4.8,171.0
Le Coquillage,4.7,722.0
