cuisine_type,google_rating,total_restaurants
Fugu / Pufferfish,4.36,5
Dwaeji-gukbap,4.36,5
Moroccan,4.360000000000000,5
"Chinese, Sichuan",4.3545454545454500,23
Taiwanese,4.353947368421050,82
"Fusion, Chinese",4.35,2
"Piedmontese, Seasonal Cuisine",4.35,2
"Mediterranean Cuisine, Sharing",4.35,2
Cuban,4.35,4
Shandong,4.35,5
"Italian-American, Pizza",4.35,2
"Farm to table, Italian",4.35,2
"Creative, Italian",4.35,4
"Southern, Creole",4.35,2
"Grills, Traditional Cuisine",4.35,2
Jamaican,4.35,2
"Italian, Venetian",4.35,2
Small eats,4.349367088607600,86
Hotpot,4.3428571428571400,10
Malaysian,4.340909090909090,22
"Meats and Grills, Grills",4.34,5
"Roman, Italian",4.333333333333330,3
"Lebanese, Middle Eastern",4.333333333333330,3
South American,4.333333333333330,3
"Roman, Cuisine from Lazio",4.333333333333330,3
Italian-American,4.328571428571430,7
"Mediterranean Cuisine, Seafood",4.322222222222220,9
"Korean, Barbecue",4.32,5
"Indian, Contemporary",4.31764705882353,17
"Chinese, Cantonese",4.316666666666670,12
"Mexican, Traditional Cuisine",4.314285714285710,7
Indonesian,4.314285714285710,7
"Organic, Creative French",4.3,1
"Cuisine from Basilicata, Traditional Cuisine",4.3,1
"Cuisine from Lazio, Seafood",4.3,1
"Cantonese, Contemporary",4.3,1
"Regional European, Contemporary",4.3,1
"Regional European, Turkish",4.3,1
"Izakaya, Sushi",4.3,1
"Creole, Creative",4.3,1
"Andalusian, Farm to table",4.3,1
"Teochew, Cantonese",4.3,1
"Creative, Italian and Japanese",4.3,1
"Spanish, Basque",4.3,1
"Colombian, Latin American",4.3,1
"Traditional Cuisine, Mexican",4.3,1
"Korean, American",4.3,1
"Italian, Spanish Contemporary",4.3,1
"South East Asian, Californian",4.3,1
"Creative, Dumplings",4.3,1
Ligurian,4.3,5
Burgundian,4.3,1
"Cantonese, American",4.3,1
"Middle Eastern, Regional Cuisine",4.3,2
"Seafood, Barbecue",4.3,1
"Korean, Duck Specialities",4.3,1
"Organic, Seasonal Cuisine",4.3,1
"Cuisine from Basilicata, Italian",4.3,1
"Sharing, Regional Cuisine",4.3,1
Nepali,4.3,1
"Japanese Contemporary, Classic Cuisine",4.3,1
"Steakhouse, Spanish",4.3,1
"Latin American, European Contemporary",4.3,1
"Californian, Seafood",4.3,1
"Yakitori, French",4.3,1
Doganitang,4.3,1
"Traditional Cuisine, Galician",4.3,1
"Jamaican, Caribbean",4.3,1
"Thai-Chinese, Thai",4.3,1
"Italian Contemporary, International",4.3,1
"Bavarian, Grills",4.3,1
"Portuguese, Creative",4.3,1
"Farm to table, Vegetarian",4.3,1
"Mediterranean Cuisine, Roman",4.3,1
Thai-Chinese,4.3,18
"Indian, South Indian",4.3,1
"Filipino, Californian",4.3,1
"Mexican, Tex-Mex",4.3,1
"South American, Grills",4.3,1
"Portuguese, Regional Cuisine",4.3,1
Shabu-shabu,4.3,1
"Friulian, Seasonal Cuisine",4.3,1
"Classic Cuisine, French Contemporary",4.3,1
"Barbecue, Ethiopian",4.3,1
"Spanish, Small eats",4.3,1
"Israeli, Mediterranean Cuisine",4.3,1
"Traditional Cuisine, Provençal",4.3,1
Italian and Japanese,4.3,1
"Southern, Steakhouse",4.3,1
"South American, Fusion",4.3,1
"Contemporary, Alpine",4.3,1
"South American, Asian",4.3,1
"Turkish, Contemporary",4.3,1
"Chinese, Hunanese and Sichuan",4.3,1
"Contemporary, Deli",4.3,1
"Brazilian, Farm to table",4.3,1
"Udon, Japanese",4.3,1
"Peruvian, Seafood",4.3,1
"Fusion, American",4.3,1
"Meats and Grills, Italian",4.3,1
"Caribbean, Regional Cuisine",4.3,1
"Contemporary, Spanish Contemporary",4.3,1
"International, Balkan",4.3,1
Belgian,4.3,5
"Creative, Greek",4.3,1
"Country cooking, Regional European",4.3,1
"Cuisine from the Marches, Italian",4.3,1
"Indonesian, Balinese",4.3,1
"Chinese, Organic",4.3,1
Dim Sum,4.29375,19
Cantonese,4.29047619047619,205
Singaporean,4.288888888888890,10
Yoshoku,4.2875,8
Huaiyang,4.271428571428570,8
"Teppanyaki, Okonomiyaki",4.266666666666670,3
"Sharing, International",4.266666666666670,3
Unagi / Freshwater Eel,4.2615384615384600,14
"Southern, American",4.26,5
Dongbei,4.25,2
"Fusion, Indian",4.25,2
"Grills, Seafood",4.25,2
"Italian-American, Italian",4.25,2
Gejang,4.25,3
"Alsatian, Traditional Cuisine",4.25,2
"Asian, Sushi",4.25,2
"Spanish, Seafood",4.25,2
Macanese,4.25,2
Peranakan,4.247368421052630,19
Noodles,4.246376811594200,152
Ramen,4.237777777777780,45
Soba,4.234210526315790,38
"Chinese, Asian",4.233333333333330,3
Hakkanese,4.233333333333330,3
Dumplings,4.228571428571430,8
"Sicilian, Traditional Cuisine",4.225,5
"Belgian, Classic Cuisine",4.220000000000000,5
Udon,4.214285714285710,7
Pork,4.2,2
"Asian Contemporary, Fusion",4.2,1
"Huaiyang, Sichuan",4.2,2
"Korean, Asian",4.2,2
"Campanian, Mediterranean Cuisine",4.2,2
"Chinese, Beijing Cuisine",4.2,1
"Seafood, Sicilian",4.2,1
"French Contemporary, South American",4.2,1
"Apulian, Seafood",4.2,2
"Grills, Mediterranean Cuisine",4.2,1
"Alpine, Traditional Cuisine",4.2,2
"Mexican, Latin American",4.2,1
"Swedish, Modern Cuisine",4.2,1
"Modern Cuisine, Emirati Cuisine",4.2,1
"Contemporary, Hungarian",4.2,1
"International, South American",4.2,1
"Indian, Californian",4.2,1
"Cantonese, Modern Cuisine",4.2,1
"Thai, American",4.2,1
"Southern, International",4.2,1
"Roman, Farm to table",4.2,1
"Meats and Grills, Classic French",4.2,1
"Flemish, Regional Cuisine",4.2,1
"Seafood, Asian",4.2,1
Jokbal,4.2,2
"Indian, Classic Cuisine",4.2,1
"International, Sushi",4.2,1
"Thai, Burmese",4.2,1
"Farm to table, Meats and Grills",4.2,1
"European, Italian",4.2,1
"Thai, Isan",4.2,2
"Turkish, Mediterranean Cuisine",4.2,4
"Greek, Contemporary",4.2,1
"Japanese Contemporary, Peruvian",4.2,1
"Norwegian, Contemporary",4.2,1
"Creative French, Belgian",4.2,1
"Persian, Grills",4.2,1
Onigiri,4.2,1
"Latin American, Regional Cuisine",4.200000000000000,2
Jiangzhe,4.200000000000000,12
"Fusion, Asian",4.200000000000000,2
Shanghainese,4.193103448275860,30
Swiss,4.18,5
Mandu,4.18,5
"Chinese, Dim Sum",4.1692307692307700,13
"Cantonese, Chinese",4.166666666666670,3
Teochew,4.166666666666670,3
Oden,4.15,5
Kalguksu,4.15,4
Street Food,4.139097744360900,269
"Sri Lankan, Contemporary",4.1,1
"Country cooking, Swiss",4.1,1
"Portuguese, Classic Cuisine",4.1,1
Tibetan,4.1,1
"Cuisine from the Marches, Country cooking",4.1,1
Xinjiang,4.1,1
"Latin American, International",4.1,1
"Peruvian, Asian Influences",4.1,1
"Japanese Contemporary, South American",4.1,1
Seolleongtang,4.1,4
Dubu,4.1,2
Flemish,4.1,1
"Meats and Grills, Turkish",4.1,1
"Barbecue, Argentinian",4.1,1
"Lyonnaise, French",4.1,1
"Farm to table, Meats and Seafood",4.1,1
"Farm to table, Turkish",4.1,1
"Creative French, Creative",4.1,1
"Classic French, Country cooking",4.1,1
"American, Seafood",4.1,1
"French Contemporary, Regional Cuisine",4.1,1
"Indian, Gastropub",4.1,1
"Hunanese, Sichuan",4.1,1
"Pakistani, Indian",4.1,1
Noodles and Congee,4.055555555555560,10
Obanzai,4.05,2
Naengmyeon,4.033333333333330,10
Gomtang,4.0200000000000000,5
Sujebi,4,1
"Farm to table, Italian Contemporary",4,1
"Spanish, Spanish Contemporary",4,1
"Chinese, Shaanxi",4,1
Singaporean and Malaysian,4,1
Xibei,4,1
Hui Cuisine,4,2
"Contemporary, Asian Influences",4,1
"Seafood, Latin American",4,1
"Asian Contemporary, Sharing",4,1
Chueotang,4,1
"Cantonese, Seafood",4,1
"Chinese, Duck Specialities",4,2
Ningbo,3.9800000000000000,7
Memil-guksu,3.9666666666666700,3
"Belgian, Classic French",3.95,2
Bulgogi,3.95,2
"Shanghainese, Sichuan",3.9500000000000000,2
"Catalan, Traditional Cuisine",3.9333333333333300,3
Shun Tak,3.925,4
"Hunanese, Jiangzhe",3.9,1
"Farm to table, Andalusian",3.9,1
"American Contemporary, Meats and Seafood",3.9,1
Chiu Chow,3.9,3
"Malaysian, Peranakan",3.9,1
Cantonese Roast Meats,3.875,4
Cuisine from South West France,3.8,1
"Chinese Contemporary, Cantonese",3.8,2
"Traditional Cuisine, Alpine",3.7,1
Roman,3.7,1
"Classic French, Asian",3.5,1
"Asian, International",3.4,1
"Cuisine from Basilicata, Country cooking",3.3,1
"Scottish, Modern British",,1
"Vegetarian, Farm to table",,1
"Noodles, Taiwanese",,1
"Sichuan, Taiwanese",,1
"Swiss, International",,1
Hainanese,,1
