cuisine_type,google_rating,total_restaurants
"Italian Contemporary, Emilian",4.7,1
"Modern British, Grills",4.7,1
"Tuscan, Home Cooking",4.7,1
"Sharing, Contemporary",4.7,2
"Fusion, Japanese Contemporary",4.7,2
"Mexican, Bakery",4.7,1
"Asian Influences, Contemporary",4.7,1
"Vegan, Italian-American",4.7,1
"Regional Cuisine, Mediterranean Cuisine",4.7,3
"Classic Cuisine, Creative",4.7,2
"Cheese, Fondue and Raclette, Swiss",4.7,1
"Mexican, Fusion",4.7,3
"Traditional British, Regional Cuisine",4.7,1
"Austrian, Modern Cuisine",4.7,2
South African,4.7,2
"Contemporary, Shellfish Specialities",4.7,1
"International, French",4.7,2
"Italian, Meats and Grills",4.7,1
"Fusion, Modern Cuisine",4.7,3
"French Contemporary, Asian Influences",4.7,3
"Contemporary, Venetian",4.7,1
"Sharing, Country cooking",4.7,1
"Modern Cuisine, Irish",4.7,1
"Classic French, Traditional Cuisine",4.7,3
"Regional Cuisine, Traditional British",4.7,1
"Austrian, Seasonal Cuisine",4.7,1
"Italian-American, Contemporary",4.7,1
"Meats and Grills, Umbrian",4.7,1
Australian Contemporary,4.7,2
"Japanese Contemporary, European",4.7,1
"Innovative, Alpine",4.7,1
"Modern Cuisine, French",4.7,10
"Modern Cuisine, Scottish",4.7,2
"Regional Cuisine, Grills",4.7,1
"Creative, Asian Contemporary",4.7,1
"Californian, American Contemporary",4.7,1
English,4.7,1
"Mexican, Persian",4.7,1
"Classic French, Classic Cuisine",4.7,1
"Country cooking, Classic French",4.7,1
"International, Austrian",4.7,2
"Innovative, Farm to table",4.7,1
"Thai, Asian Contemporary",4.7,1
"Japanese, American",4.7,1
"German, Home Cooking",4.7,1
"Swiss, Country cooking",4.7,1
"International, Sharing",4.7,1
"Asian Influences, World Cuisine",4.7,1
"Peruvian, World Cuisine",4.7,1
"Catalan, Contemporary",4.7,1
"Innovative, Swiss",4.7,1
"Contemporary, Creative French",4.7,1
"Creative, Bakery",4.7,1
"Seafood, Italian-American",4.7,1
"Vegetarian, Latin American",4.7,1
"Italian, Modern French",4.7,1
"Modern Cuisine, Cuisine from the Marches",4.7,1
"Galician, Creative",4.7,1
"Home Cooking, Country cooking",4.7,1
"Innovative, Singaporean",4.7,1
"Traditional Cuisine, Innovative",4.7,1
"Italian Contemporary, Vegetarian",4.7,1
"Lombardian, Country cooking",4.7,2
"South East Asian, Indian",4.7,1
"Traditional Cuisine, International",4.7,4
"Japanese, Seasonal Cuisine",4.7,1
"Cuisine from Abruzzo, Contemporary",4.7,4
"Japanese Contemporary, Japanese",4.7,1
"Seasonal Cuisine, World Cuisine",4.7,1
"Alpine, Swiss",4.7,1
"Japanese, International",4.7,1
"Rice Dishes, Regional Cuisine",4.7,1
"French Contemporary, International",4.7,6
"International, American Contemporary",4.7,1
Sharing,4.7,5
"Modern French, Mediterranean Cuisine",4.7,4
"Cuisine from the Aosta Valley, Regional Cuisine",4.7,1
"Traditional Cuisine, Spanish",4.7,1
"Italian Contemporary, French",4.7,1
"Meats and Grills, Regional European",4.7,1
"Modern Cuisine, Japanese",4.7,1
Hubei,4.7,3
"Fusion, Regional Cuisine",4.7,1
"Barbecue, Egyptian",4.7,1
"Bavarian, Traditional Cuisine",4.7,1
